row_position,date,spot_price,strike,moneyness,choice_time_years,actual_heston_synthetic_price,predicted_price_usd,absolute_error_usd,base_value_ratio,base_value_usd,reconstructed_price_usd,contract_terms_signed_contribution_usd,contract_terms_absolute_contribution_usd,historical_volatility_signed_contribution_usd,historical_volatility_absolute_contribution_usd,vix_core_signed_contribution_usd,vix_core_absolute_contribution_usd,vix_interaction_signed_contribution_usd,vix_interaction_absolute_contribution_usd,news_sentiment_signed_contribution_usd,news_sentiment_absolute_contribution_usd,other_market_signed_contribution_usd,other_market_absolute_contribution_usd
12,2024-03-15,190.3,171.27,0.9,0.25,30.38854604282989,31.120041554678334,0.7314955118484434,0.1645836165375544,31.320262227096606,31.12004155467833,4.582206139524654,6.6302026241367376,-4.475270508703391,4.475270508703391,-0.42003641416672144,0.42003641416672144,-0.08422409124023132,0.08422409124023132,-0.014870837298246523,0.07907575977719991,0.21197503946565965,0.9579986984956753
13,2024-03-15,190.3,171.27,0.9,0.5,32.23894290580302,32.38589031694162,0.14694741113859777,0.1645836165375544,31.320262227096606,32.385890316941655,6.408687130187815,6.408687130187815,-4.7818581880271385,4.7818581880271385,-0.44519195091245584,0.44519195091245584,-0.12877196647742253,0.12877196647742253,-0.06285979465338738,0.11618429295229943,0.07562285972763619,0.9063720375722552
14,2024-03-15,190.3,190.3,1.0,0.25,18.929388066605625,20.542814860632916,1.6134267940272906,0.1645836165375544,31.320262227096606,20.542814860632923,-4.292008352055874,4.292008352055874,-5.850751696441351,5.850751696441351,-0.4397704522575707,0.4397704522575707,-0.06054055592452983,0.06054055592452983,-0.014364919936848474,0.07224939529240462,-0.120011389847509,0.4325984561006349
15,2024-03-15,190.3,190.3,1.0,0.5,20.973509475836604,22.860392087537697,1.8868826117010933,0.1645836165375544,31.320262227096606,22.860392087537686,-1.5854484277877752,4.08632689589849,-6.057384774501134,6.057384774501134,-0.4645523829021383,0.4645523829021383,-0.07549314739403337,0.07549314739403337,-0.055893656169672526,0.10561234543756215,-0.22109775080416524,0.3929335927025442
16,2024-03-15,190.3,209.33000000000004,1.1,0.25,18.515311571203355,20.649175287097385,2.13386371589403,0.1645836165375544,31.320262227096606,20.64917528709737,-3.5654689817895293,3.5654689817895293,-6.102787704830512,6.102787704830512,-0.48383053146196764,0.48383053146196764,-0.06471197880348219,0.06471197880348219,-0.015025109633224011,0.0813779307161276,-0.43926263348051875,0.5163277677842328
17,2024-03-15,190.3,209.33000000000004,1.1,0.5,20.81867636158145,22.59721253542508,1.77853617384363,0.1645836165375544,31.320262227096606,22.597212535425058,-1.3036930294130906,3.578428337250391,-6.314032233067498,6.314032233067498,-0.49576829771505815,0.49576829771505815,-0.07766750225274006,0.07766750225274006,-0.06005177957126512,0.11342561294903372,-0.47183684965190015,0.5848415227375467
18,2024-04-29,193.28,173.952,0.9,0.25,34.147556863089626,32.44549737728146,1.7020594858081637,0.1645836165375544,31.810721404378516,32.44549737728142,4.071431342261542,6.353615524950035,-3.7174051809846946,3.7174051809846946,-0.3886003895177653,0.3886003895177653,0.036825375923231776,0.036825375923231776,-0.19735749000890618,0.20683840415650886,0.8298823152294986,0.9021212970605799
19,2024-04-29,193.28,173.952,0.9,0.5,34.76532778137927,34.25993301698037,0.5053947643989005,0.1645836165375544,31.810721404378516,34.25993301698036,6.192755670281133,6.192755670281133,-3.9468879609051983,3.9468879609051983,-0.4128289863509982,0.4128289863509982,0.07133546837746989,0.07133546837746989,-0.19214367022964263,0.21153714778002902,0.7369810914290853,0.8050500838397217
20,2024-04-29,193.28,193.28,1.0,0.25,23.3410269574389,22.79210710035344,0.5489198570854583,0.1645836165375544,31.810721404378516,22.792107100353448,-4.3622504910136835,4.3622504910136835,-4.446214876765232,4.446214876765232,-0.4163491561145685,0.4163491561145685,0.04711289396421285,0.04711289396421285,-0.20333655383422308,0.2037676529240521,0.3624238797384258,0.43406715396515394
21,2024-04-29,193.28,193.28,1.0,0.5,25.73036135301323,25.374278213393374,0.35608313961985516,0.1645836165375544,31.810721404378516,25.37427821339336,-1.530951967133597,4.176018545934714,-4.5914254394360645,4.5914254394360645,-0.4394003227206562,0.4394003227206562,0.05529973440864309,0.05529973440864309,-0.20799639839271522,0.2118804745066437,0.27803120228923395,0.3894683825073233
22,2024-04-29,193.28,212.60800000000003,1.1,0.25,21.567823350227307,23.603868111077666,2.036044760850359,0.1645836165375544,31.810721404378516,23.603868111077656,-3.2658673698989817,3.2658673698989817,-4.338562882475404,4.338562882475404,-0.4426779226892694,0.4426779226892694,0.04744635431191456,0.04744635431191456,-0.19889597382423133,0.20364465800339704,-0.008295498724884814,0.6228552329673063
