family,candidate_number,mae,rmse,r2,parameters
random_forest,6,3.704706907451167,5.225456774238648,-0.09626955981785235,"{""n_estimators"": 500, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""max_depth"": 8}"
random_forest,20,3.7544443486579135,5.234116336552315,-0.09925972859504767,"{""n_estimators"": 800, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": null}"
random_forest,24,3.8422097866064497,5.325326996428327,-0.13971156302730664,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 6}"
random_forest,8,3.8633294141133163,5.35631536504163,-0.1540536668630542,"{""n_estimators"": 800, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 4}"
random_forest,15,3.876743998512511,5.365218023277457,-0.15832092438323947,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 4}"
random_forest,23,3.8776084241858997,5.381027718200251,-0.1676326559594444,"{""n_estimators"": 500, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 4}"
random_forest,21,3.9477712197902854,5.414634847206103,-0.18699812548967293,"{""n_estimators"": 800, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 4}"
ridge,5,4.187143890935009,5.42480615517135,-0.4615963803409388,"{""alpha"": 100.0}"
random_forest,4,3.9739704567554686,5.450095812182937,-0.2064477241479247,"{""n_estimators"": 500, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 4}"
mlp,18,10.787708630450705,13.176480388554582,-9.156275090018948,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.0003, ""hidden_layer_sizes"": [32, 16], ""early_stopping"": false, ""alpha"": 0.001, ""activation"": ""tanh""}"
mlp,15,11.978520176517678,15.731871264135584,-9.141804113373984,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.001, ""hidden_layer_sizes"": [16], ""early_stopping"": false, ""alpha"": 0.0001, ""activation"": ""relu""}"
mlp,17,12.919499383257708,18.94195789629943,-16.13057965267727,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.001, ""hidden_layer_sizes"": [64, 32, 16], ""early_stopping"": false, ""alpha"": 0.0001, ""activation"": ""relu""}"
mlp,5,17.727761698911316,21.711604381428323,-23.03628359309636,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [64, 32], ""early_stopping"": false, ""alpha"": 0.001, ""activation"": ""tanh""}"
mlp,19,17.752874480641292,21.794593897144036,-22.41332022322984,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [64, 32], ""early_stopping"": false, ""alpha"": 0.0001, ""activation"": ""tanh""}"
mlp,11,19.836726868265146,23.15134627450636,-26.259794674939062,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [64, 32, 16], ""early_stopping"": false, ""alpha"": 0.0001, ""activation"": ""tanh""}"
